case_id,set_id,author_ids,author_names,train,test,val
2,11,"[73, 1057]","Frances Hodgson Burnett,Fergus Hume","[113, 25725, 55783, 55510, 56177, 4223, 15651, 55831, 146, 2514, 506, 9487, 6491, 15651, 4946, 25810, 41071, 19069, 34835, 23474, 55960, 55305, 5302, 137, 24769, 17226, 460, 2868]","[37332, 56241, 1550, 55404, 50471, 459, 55511, 36346]","[384, 26063, 479, 55311]"
2,12,"[324, 1321]","Anthony Trollope,Marie Corelli","[18000, 42332, 30100, 5140, 61716, 3823, 6921, 4599, 64152, 66320, 24103, 4251, 67113, 18449, 3166, 4394, 4360, 33500, 58558, 2158, 5231, 25579, 53097, 2860, 18640, 5165, 68771, 7381]","[5079, 619, 59780, 4653, 4285, 3045, 19500, 5897]","[23000, 3831, 3409, 5114]"
2,13,"[2957, 28]","Mary Elizabeth Braddon,Nathaniel Hawthorne","[50676, 8954, 50037, 54247, 7119, 26238, 77, 9362, 11720, 67237, 68040, 64944, 9189, 32242, 9258, 7183, 976, 1926, 2182, 17801, 48021, 2081, 9475, 2181, 48020, 9247, 25344, 9256]","[9251, 57405, 9257, 30376, 7085, 9052, 41374, 35485]","[34542, 9237, 9377, 7372]"
2,14,"[69, 102]","Arthur Conan Doyle,Louisa May Alcott","[4770, 54212, 2787, 38443, 3499, 356, 26041, 8677, 2350, 1644, 3795, 2347, 5148, 2845, 2726, 2348, 40683, 8188, 244, 11247, 57321, 28203, 9504, 40682, 2343, 2344, 8694, 2345]","[36221, 1661, 2788, 2786, 423, 13152, 537, 5830]","[8394, 2804, 514, 2349]"
2,15,"[28, 963]","Nathaniel Hawthorne,Margaret Oliphant","[65935, 9257, 7183, 28006, 66376, 59918, 9251, 60018, 9258, 54841, 1926, 9256, 63902, 11521, 59759, 7372, 52060, 7085, 41286, 9247, 10052, 25344, 2181, 48197, 2182, 7119, 976, 55155]","[29890, 53744, 30376, 9237, 52756, 77, 53583, 64944]","[32242, 48199, 28629, 2081]"
2,16,"[2957, 53]","Mary Elizabeth Braddon,Mark Twain","[2874, 8954, 3174, 1086, 9362, 57405, 1044, 93, 68040, 67237, 3180, 91, 74, 86, 102, 9377, 9475, 48021, 61522, 34542, 9189, 9052, 54247, 3189, 8525, 119, 17801, 11720]","[3190, 50037, 60900, 41374, 3179, 3178, 48020, 35485]","[26238, 1837, 50676, 76]"
2,17,"[102, 69]","Louisa May Alcott,Arthur Conan Doyle","[26041, 8394, 9504, 57321, 537, 54212, 514, 5148, 40683, 1644, 5830, 11247, 2788, 36221, 2349, 13152, 2343, 356, 2787, 28203, 40682, 2845, 38443, 8694, 1661, 2350, 4770, 3499]","[2348, 2347, 8188, 2804, 2345, 2726, 423, 2786]","[244, 8677, 3795, 2344]"
2,18,"[324, 125]","Anthony Trollope,Joseph Conrad","[23000, 6378, 5231, 30100, 974, 19500, 5140, 525, 33500, 527, 638, 495, 18000, 1055, 720, 1142, 619, 2480, 17731, 5897, 451, 66156, 3166, 3045, 3409, 7381, 493, 4599]","[18640, 2860, 24103, 58558, 1083, 2021, 1058, 219]","[220, 5658, 2158, 25579]"
2,19,"[1057, 1177]","Fergus Hume,Mrs Henry Wood","[36106, 34835, 4946, 58086, 16798, 58774, 26063, 56241, 4223, 55960, 19069, 36346, 42200, 38832, 58431, 58701, 58582, 55511, 39692, 55831, 58046, 41071, 15627, 55510, 57875, 55783, 39377, 55311]","[2868, 9192, 3322, 23474, 58288, 55305, 55404, 40418]","[34587, 56177, 39693, 24769]"
2,20,"[324, 102]","Anthony Trollope,Louisa May Alcott","[3795, 4599, 8188, 5830, 18000, 2804, 2158, 33500, 3499, 8677, 36221, 23000, 40682, 7381, 58558, 2726, 619, 2786, 2787, 5231, 19500, 3166, 24103, 3045, 26041, 54212, 2860, 514]","[30100, 40683, 8694, 18640, 3409, 57321, 2788, 5897]","[28203, 5140, 25579, 4770]"
2,21,"[593, 324]","Bret Harte,Anthony Trollope","[33500, 18640, 12419, 3045, 2858, 5140, 24103, 2178, 7381, 58558, 19500, 2277, 2723, 3409, 25579, 2279, 2193, 5897, 619, 2867, 18000, 2695, 2794, 2185, 30100, 2310, 2712, 2635]","[4599, 5231, 2280, 2860, 2711, 3166, 2286, 2793]","[2180, 36336, 23000, 2158]"
2,22,"[365, 98]","Henry Rider Haggard,Wilkie Collins","[1690, 1622, 1438, 7893, 3606, 2857, 6769, 5745, 1625, 1368, 1587, 3155, 59422, 7894, 155, 9780, 2841, 2721, 5228, 2166, 711, 1586, 1895, 583, 43092, 1917, 170, 1711]","[8184, 1627, 5746, 5174, 4605, 888, 2722, 1630]","[2769, 1848, 1975, 7891]"
2,23,"[1321, 324]","Marie Corelli,Anthony Trollope","[7381, 24103, 5079, 58558, 68771, 5897, 19500, 5114, 18640, 4653, 59780, 67113, 23000, 53097, 4285, 3831, 3166, 30100, 3823, 619, 3045, 5231, 18000, 61716, 33500, 42332, 4251, 4394]","[4360, 2860, 5165, 6921, 2158, 25579, 66320, 5140]","[4599, 18449, 3409, 64152]"
2,24,"[69, 73]","Arthur Conan Doyle,Frances Hodgson Burnett","[9487, 2349, 506, 11247, 5302, 5148, 8394, 17226, 244, 2514, 460, 6491, 2350, 38443, 2348, 9504, 2345, 137, 15651, 113, 25725, 37332, 13152, 2344, 423, 2343, 459, 50471]","[1550, 537, 356, 1661, 15651, 146, 384, 2347]","[2845, 1644, 25810, 479]"
2,25,"[365, 2957]","Henry Rider Haggard,Mary Elizabeth Braddon","[2841, 17801, 1848, 41374, 5746, 5228, 5174, 57405, 2722, 9780, 9052, 35485, 48020, 2166, 48021, 34542, 1368, 50676, 50037, 711, 67237, 8184, 1711, 11720, 2857, 8954, 6769, 9189]","[26238, 9475, 3155, 59422, 2721, 54247, 9377, 5745]","[68040, 2769, 1690, 9362]"
2,26,"[1321, 963]","Marie Corelli,Margaret Oliphant","[28006, 66320, 11521, 4394, 28629, 66376, 53097, 52060, 65935, 61716, 64152, 3823, 63902, 6921, 41286, 5114, 59759, 4360, 53744, 59780, 55155, 60018, 59918, 18449, 5079, 4251, 4653, 52756]","[53583, 5165, 29890, 3831, 67113, 10052, 48199, 4285]","[48197, 68771, 54841, 42332]"
2,27,"[69, 1177]","Arthur Conan Doyle,Mrs Henry Wood","[1661, 34587, 39692, 423, 2344, 3322, 2348, 58774, 5148, 2345, 2350, 40418, 58431, 58046, 2343, 39693, 1644, 11247, 2347, 9192, 9504, 58582, 537, 38832, 2845, 58086, 36106, 16798]","[38443, 8394, 57875, 2349, 244, 15627, 39377, 58288]","[58701, 13152, 42200, 356]"
2,28,"[593, 365]","Bret Harte,Henry Rider Haggard","[36336, 711, 2185, 2841, 2635, 2722, 1690, 12419, 5228, 2721, 5174, 2166, 2286, 2277, 5745, 2793, 1711, 2180, 1368, 2280, 6769, 2712, 2769, 2695, 2858, 2279, 3155, 2794]","[2723, 9780, 2193, 5746, 2857, 1848, 2711, 2867]","[2310, 2178, 59422, 8184]"
2,29,"[365, 963]","Henry Rider Haggard,Margaret Oliphant","[54841, 2841, 59759, 63902, 1690, 1711, 48197, 66376, 2722, 1368, 60018, 711, 55155, 5745, 65935, 6769, 9780, 11521, 53583, 59422, 1848, 3155, 48199, 59918, 8184, 28629, 2721, 52060]","[28006, 2857, 5746, 41286, 10052, 2769, 5228, 29890]","[52756, 2166, 5174, 53744]"
2,30,"[593, 30]","Bret Harte,H.G. Wells","[2277, 2695, 39162, 2185, 2635, 1059, 35920, 2279, 36, 34962, 780, 2280, 2723, 2867, 718, 1013, 2180, 775, 12163, 5230, 2793, 2712, 2310, 2193, 524, 2286, 35, 159]","[35338, 1264, 66409, 36336, 2178, 2858, 2794, 14060]","[12419, 7308, 1047, 2711]"
2,31,"[98, 979]","Wilkie Collins,John Kendrick Bangs","[7891, 7894, 6995, 4930, 18207, 1622, 155, 3606, 1975, 39871, 18881, 1625, 1895, 8377, 43092, 1438, 3169, 35374, 7893, 33432, 34465, 888, 2618, 3162, 4605, 583, 39682, 3324]","[35302, 1587, 24130, 1630, 33623, 28069, 1917, 1627]","[170, 1586, 30853, 20559]"
2,32,"[8949, 125]","James Grant,Joseph Conrad","[525, 65415, 5658, 54593, 17731, 68293, 219, 451, 54918, 1083, 64836, 1058, 65393, 55528, 55179, 54921, 66156, 64254, 68789, 974, 65932, 2021, 495, 220, 54920, 638, 1055, 54919]","[55527, 67228, 68294, 493, 527, 65294, 1142, 2480]","[6378, 720, 65080, 68790]"
2,33,"[73, 120]","Frances Hodgson Burnett,Jack London","[1164, 1160, 2514, 910, 5737, 137, 113, 384, 1163, 1550, 25725, 2416, 37332, 146, 17226, 21971, 6455, 1162, 746, 2152, 506, 9487, 5302, 50471, 310, 479, 1161, 1056]","[25810, 6491, 215, 21970, 460, 1074, 15651, 1449]","[459, 2377, 1075, 15651]"
2,34,"[69, 98]","Arthur Conan Doyle,Wilkie Collins","[2349, 2348, 1625, 356, 2344, 1630, 1622, 2347, 2350, 3606, 1644, 7894, 155, 13152, 7893, 43092, 2845, 1975, 1587, 5148, 170, 1661, 38443, 583, 423, 1917, 2345, 888]","[1438, 1895, 11247, 1627, 4605, 537, 244, 9504]","[1586, 8394, 2343, 7891]"
2,35,"[28, 979]","Nathaniel Hawthorne,John Kendrick Bangs","[33623, 2182, 64944, 6995, 3169, 35374, 39871, 28069, 8377, 7119, 4930, 39682, 7085, 9251, 9256, 77, 7372, 24130, 7183, 9247, 2181, 25344, 35302, 976, 3162, 2081, 30853, 18207]","[34465, 18881, 32242, 9257, 9237, 3324, 1926, 2618]","[20559, 30376, 9258, 33432]"
2,36,"[102, 260]","Louisa May Alcott,Oliver Optic","[2788, 24775, 23351, 54212, 484, 2804, 14595, 3795, 24554, 2786, 2787, 23758, 8188, 24124, 18678, 3499, 15920, 28203, 15540, 44950, 18264, 57321, 4770, 514, 26653, 36221, 18579, 26041]","[40682, 2726, 8694, 52978, 21901, 65552, 8677, 24631]","[24252, 24866, 40683, 5830]"
2,37,"[979, 260]","John Kendrick Bangs,Oliver Optic","[8377, 24124, 24775, 39871, 24631, 2618, 18678, 33432, 18264, 24252, 23758, 35302, 30853, 23351, 52978, 28069, 18207, 35374, 3324, 44950, 21901, 33623, 3162, 484, 18881, 18579, 15540, 34465]","[24130, 39682, 3169, 6995, 24866, 24554, 65552, 14595]","[26653, 4930, 20559, 15920]"
2,38,"[260, 120]","Oliver Optic,Jack London","[52978, 23351, 18678, 2377, 910, 21901, 1160, 1056, 1161, 1075, 1074, 24631, 1164, 21970, 746, 24252, 215, 18264, 21971, 2152, 65552, 15920, 24124, 14595, 18579, 15540, 23758, 310]","[1449, 24866, 6455, 24554, 5737, 1162, 484, 26653]","[24775, 2416, 1163, 44950]"
2,39,"[324, 365]","Anthony Trollope,Henry Rider Haggard","[59422, 2857, 5746, 3409, 18000, 23000, 2769, 2721, 33500, 2166, 2841, 5231, 5745, 6769, 619, 25579, 3045, 2158, 8184, 30100, 18640, 711, 1848, 24103, 2860, 58558, 1690, 2722]","[3166, 5174, 19500, 3155, 4599, 5228, 5140, 9780]","[1711, 1368, 7381, 5897]"
2,40,"[53, 98]","Mark Twain,Wilkie Collins","[1044, 1625, 43092, 102, 3178, 119, 583, 1586, 93, 1895, 61522, 155, 1086, 1622, 1630, 76, 3189, 4605, 170, 1975, 60900, 888, 1837, 3174, 86, 3606, 3179, 1438]","[7891, 1917, 3180, 7894, 1627, 2874, 8525, 3190]","[74, 91, 1587, 7893]"
2,41,"[1177, 30]","Mrs Henry Wood,H.G. Wells","[39162, 7308, 40418, 36106, 14060, 58288, 58086, 58701, 39377, 34587, 780, 58431, 3322, 718, 1264, 35, 35338, 58582, 9192, 1047, 36, 38832, 1013, 12163, 159, 42200, 39693, 35920]","[39692, 57875, 58046, 524, 1059, 16798, 34962, 66409]","[775, 5230, 58774, 15627]"
2,42,"[1177, 593]","Mrs Henry Wood,Bret Harte","[58431, 16798, 2723, 57875, 2858, 2286, 58086, 2695, 58701, 2178, 40418, 58046, 2277, 2185, 2712, 2711, 58774, 42200, 36336, 15627, 2793, 36106, 2280, 2794, 12419, 58582, 58288, 34587]","[2867, 38832, 3322, 2310, 2193, 9192, 39692, 2635]","[39377, 2180, 39693, 2279]"
2,43,"[324, 73]","Anthony Trollope,Frances Hodgson Burnett","[15651, 4599, 3409, 5302, 23000, 459, 33500, 1550, 25725, 18000, 9487, 384, 30100, 137, 18640, 479, 5231, 5140, 50471, 460, 37332, 2860, 7381, 3166, 619, 25810, 19500, 113]","[25579, 6491, 2158, 58558, 506, 24103, 2514, 146]","[3045, 15651, 5897, 17226]"
2,44,"[30, 979]","H.G. Wells,John Kendrick Bangs","[34465, 12163, 18881, 5230, 1047, 3324, 8377, 775, 36, 33432, 35374, 39162, 159, 35302, 39682, 66409, 20559, 4930, 2618, 1059, 18207, 35338, 34962, 33623, 14060, 524, 3169, 780]","[24130, 28069, 30853, 718, 39871, 35920, 1264, 7308]","[1013, 35, 6995, 3162]"
2,45,"[1057, 102]","Fergus Hume,Louisa May Alcott","[55511, 34835, 28203, 55831, 55783, 26063, 55510, 55305, 3795, 4770, 2726, 8694, 57321, 514, 40683, 8188, 55960, 2868, 55404, 26041, 55311, 3499, 19069, 56241, 4223, 2787, 2804, 2788]","[41071, 40682, 56177, 36221, 5830, 36346, 54212, 24769]","[4946, 2786, 23474, 8677]"
2,46,"[73, 593]","Frances Hodgson Burnett,Bret Harte","[2793, 9487, 2794, 2178, 2180, 2185, 2514, 2858, 384, 2635, 479, 137, 2712, 113, 2310, 2695, 460, 146, 36336, 2277, 459, 6491, 1550, 15651, 37332, 12419, 2280, 506]","[2286, 2711, 50471, 25810, 2867, 15651, 2193, 5302]","[17226, 2279, 2723, 25725]"
2,47,"[260, 102]","Oliver Optic,Louisa May Alcott","[28203, 24252, 2788, 26041, 65552, 8188, 14595, 24631, 15540, 5830, 3499, 8677, 3795, 24775, 36221, 18579, 24866, 18678, 54212, 23351, 40683, 18264, 24554, 44950, 23758, 8694, 2804, 4770]","[2787, 57321, 2786, 15920, 52978, 24124, 26653, 514]","[2726, 40682, 21901, 484]"
2,48,"[1057, 30]","Fergus Hume,H.G. Wells","[23474, 1059, 19069, 775, 780, 34962, 36346, 55960, 36, 1047, 14060, 39162, 7308, 35338, 55511, 1013, 12163, 55783, 4946, 2868, 26063, 34835, 524, 41071, 55311, 718, 24769, 55404]","[159, 56177, 35, 55510, 35920, 55305, 5230, 56241]","[1264, 66409, 55831, 4223]"
2,49,"[979, 365]","John Kendrick Bangs,Henry Rider Haggard","[2166, 2722, 2857, 8377, 6995, 33432, 1368, 59422, 28069, 2618, 8184, 24130, 2769, 5228, 20559, 711, 6769, 33623, 3324, 18207, 5174, 3169, 3162, 2841, 35374, 1711, 5745, 39682]","[34465, 1690, 5746, 3155, 30853, 2721, 39871, 18881]","[4930, 35302, 1848, 9780]"
2,50,"[30, 125]","H.G. Wells,Joseph Conrad","[35, 5230, 495, 775, 6378, 39162, 5658, 35920, 220, 17731, 974, 451, 1059, 1055, 219, 1058, 780, 14060, 7308, 638, 525, 36, 527, 493, 66409, 159, 34962, 1047]","[1083, 1264, 66156, 720, 2021, 524, 718, 1013]","[2480, 35338, 12163, 1142]"
2,51,"[30, 8949]","H.G. Wells,James Grant","[55527, 67228, 35920, 718, 780, 36, 68790, 65080, 5230, 68294, 54920, 55528, 34962, 65393, 1264, 54921, 54918, 39162, 524, 65415, 54919, 68789, 775, 1059, 54593, 1047, 1013, 35338]","[159, 66409, 12163, 14060, 64254, 68293, 65294, 55179]","[64836, 35, 65932, 7308]"
2,52,"[593, 365]","Bret Harte,Henry Rider Haggard","[5228, 5745, 2769, 2279, 9780, 2712, 5174, 2193, 2858, 2841, 2721, 59422, 2723, 2867, 2857, 12419, 2794, 2185, 2180, 2695, 3155, 8184, 2280, 2722, 2178, 1368, 1711, 2286]","[2166, 2310, 5746, 2793, 36336, 711, 1848, 2711]","[2277, 2635, 1690, 6769]"
2,53,"[963, 1177]","Margaret Oliphant,Mrs Henry Wood","[58582, 41286, 48197, 57875, 59918, 28006, 34587, 53583, 59759, 54841, 58086, 15627, 39692, 48199, 65935, 9192, 66376, 36106, 38832, 58046, 39693, 29890, 10052, 52060, 28629, 3322, 58774, 40418]","[60018, 58431, 63902, 55155, 58701, 58288, 53744, 42200]","[11521, 39377, 52756, 16798]"
2,54,"[28, 1321]","Nathaniel Hawthorne,Marie Corelli","[30376, 32242, 18449, 976, 4394, 7085, 5114, 7372, 61716, 9257, 7119, 77, 64152, 2182, 6921, 42332, 9247, 3823, 5079, 64944, 9237, 9258, 5165, 9256, 4360, 66320, 68771, 4285]","[7183, 4653, 9251, 4251, 53097, 1926, 67113, 2081]","[3831, 59780, 25344, 2181]"
2,55,"[28, 73]","Nathaniel Hawthorne,Frances Hodgson Burnett","[459, 460, 2514, 9257, 25725, 2181, 113, 7183, 9251, 9256, 9237, 384, 17226, 77, 7372, 506, 9258, 976, 15651, 1926, 9487, 137, 7119, 25810, 5302, 25344, 37332, 64944]","[30376, 32242, 50471, 2081, 7085, 15651, 1550, 146]","[2182, 6491, 9247, 479]"
2,56,"[73, 98]","Frances Hodgson Burnett,Wilkie Collins","[113, 9487, 2514, 15651, 459, 1586, 506, 1627, 1625, 4605, 1587, 6491, 3606, 479, 15651, 155, 5302, 1975, 7894, 7891, 1550, 17226, 888, 460, 1438, 583, 25725, 1917]","[137, 1895, 170, 37332, 43092, 146, 384, 1622]","[7893, 50471, 1630, 25810]"
2,57,"[69, 125]","Arthur Conan Doyle,Joseph Conrad","[720, 2349, 13152, 17731, 423, 2845, 2343, 2348, 2347, 8394, 525, 974, 2345, 527, 5148, 244, 1055, 2021, 1083, 537, 638, 220, 219, 5658, 1058, 1644, 6378, 356]","[38443, 1661, 9504, 11247, 493, 495, 2480, 66156]","[2350, 1142, 2344, 451]"
2,58,"[125, 963]","Joseph Conrad,Margaret Oliphant","[5658, 29890, 219, 2480, 451, 974, 48197, 53744, 53583, 720, 54841, 638, 59918, 63902, 28629, 28006, 1055, 11521, 493, 66156, 1058, 65935, 527, 1083, 41286, 10052, 17731, 60018]","[66376, 525, 59759, 52060, 52756, 6378, 495, 220]","[1142, 55155, 2021, 48199]"
2,59,"[324, 102]","Anthony Trollope,Louisa May Alcott","[8677, 5830, 2158, 57321, 4770, 3166, 2860, 5231, 28203, 5897, 40682, 5140, 23000, 514, 19500, 24103, 2726, 3409, 619, 18640, 8188, 36221, 2788, 40683, 18000, 26041, 7381, 2786]","[3499, 30100, 3045, 25579, 8694, 4599, 2804, 3795]","[2787, 33500, 58558, 54212]"
2,60,"[8949, 53]","James Grant,Mark Twain","[74, 61522, 119, 68294, 2874, 93, 65080, 65415, 1044, 64254, 65393, 54593, 3180, 60900, 64836, 65294, 1837, 86, 55527, 76, 54921, 3179, 68789, 67228, 68790, 91, 3178, 65932]","[1086, 3189, 68293, 55179, 54918, 8525, 3190, 55528]","[54919, 3174, 54920, 102]"
2,61,"[2957, 1177]","Mary Elizabeth Braddon,Mrs Henry Wood","[58046, 57875, 41374, 68040, 9475, 58774, 36106, 39692, 54247, 67237, 17801, 57405, 58086, 39693, 9189, 35485, 38832, 48020, 58431, 40418, 26238, 50037, 9192, 15627, 58701, 39377, 50676, 11720]","[42200, 58288, 3322, 34542, 8954, 9362, 48021, 58582]","[34587, 16798, 9377, 9052]"
2,62,"[2957, 260]","Mary Elizabeth Braddon,Oliver Optic","[54247, 23351, 9052, 44950, 484, 21901, 17801, 35485, 9189, 65552, 34542, 52978, 26238, 11720, 57405, 18678, 24775, 24554, 24631, 8954, 50676, 23758, 18579, 24252, 9475, 9362, 24124, 68040]","[18264, 48020, 14595, 26653, 50037, 67237, 15920, 48021]","[24866, 15540, 9377, 41374]"
2,63,"[1321, 125]","Marie Corelli,Joseph Conrad","[66320, 5165, 525, 53097, 6378, 5079, 66156, 64152, 4251, 1142, 2480, 1055, 4285, 220, 4360, 219, 2021, 6921, 638, 527, 4653, 59780, 495, 3831, 68771, 4394, 974, 1058]","[451, 3823, 493, 18449, 720, 42332, 5658, 5114]","[67113, 61716, 17731, 1083]"
2,64,"[8949, 69]","James Grant,Arthur Conan Doyle","[2343, 65294, 1644, 244, 55527, 55528, 356, 38443, 2348, 9504, 8394, 68790, 68789, 54921, 54919, 65393, 65932, 2845, 65080, 68293, 64836, 5148, 68294, 13152, 54593, 1661, 537, 2345]","[64254, 2347, 67228, 423, 2344, 65415, 54920, 2349]","[54918, 11247, 55179, 2350]"
2,65,"[8949, 73]","James Grant,Frances Hodgson Burnett","[384, 146, 68789, 54918, 2514, 6491, 25725, 55179, 65080, 15651, 64254, 68293, 54593, 460, 506, 50471, 65294, 54921, 68790, 65932, 1550, 9487, 65415, 479, 55527, 25810, 37332, 55528]","[65393, 64836, 54920, 17226, 68294, 5302, 113, 137]","[67228, 15651, 459, 54919]"
2,66,"[324, 1321]","Anthony Trollope,Marie Corelli","[3166, 3823, 19500, 59780, 7381, 68771, 3045, 4285, 3409, 23000, 30100, 3831, 58558, 2860, 4653, 619, 53097, 64152, 5897, 25579, 33500, 42332, 5079, 6921, 5114, 4360, 24103, 4394]","[5165, 5231, 18449, 5140, 4599, 61716, 66320, 2158]","[4251, 18640, 18000, 67113]"
2,67,"[28, 102]","Nathaniel Hawthorne,Louisa May Alcott","[26041, 2786, 7085, 9251, 2181, 3499, 28203, 7372, 9257, 1926, 9256, 5830, 8188, 9258, 8694, 7183, 514, 4770, 25344, 54212, 8677, 2788, 2787, 7119, 64944, 2081, 9237, 2804]","[36221, 30376, 32242, 2726, 976, 2182, 57321, 40682]","[40683, 9247, 3795, 77]"
2,68,"[1321, 260]","Marie Corelli,Oliver Optic","[5079, 64152, 23758, 24631, 23351, 18579, 24124, 3823, 44950, 26653, 18678, 24775, 4285, 4653, 52978, 14595, 4251, 5114, 4360, 4394, 3831, 18449, 15920, 24866, 67113, 42332, 53097, 21901]","[6921, 66320, 24252, 24554, 5165, 15540, 61716, 484]","[59780, 18264, 68771, 65552]"
2,69,"[365, 98]","Henry Rider Haggard,Wilkie Collins","[1630, 1622, 7893, 1895, 5745, 2722, 583, 8184, 5174, 59422, 2857, 9780, 1917, 7894, 888, 2166, 3155, 155, 711, 3606, 1438, 1690, 1711, 7891, 2769, 1586, 2721, 1627]","[170, 1975, 1368, 1587, 4605, 5746, 2841, 1848]","[6769, 1625, 43092, 5228]"
2,70,"[1057, 28]","Fergus Hume,Nathaniel Hawthorne","[976, 30376, 2182, 55960, 32242, 77, 55511, 55783, 1926, 2868, 25344, 7183, 19069, 2081, 9251, 9257, 56177, 55831, 55404, 26063, 9247, 7372, 7085, 41071, 4223, 55305, 55311, 23474]","[7119, 64944, 9258, 4946, 55510, 24769, 9256, 34835]","[56241, 2181, 9237, 36346]"
2,71,"[365, 324]","Henry Rider Haggard,Anthony Trollope","[2166, 24103, 58558, 2860, 5746, 23000, 2769, 711, 6769, 1848, 3166, 4599, 5897, 1711, 5140, 3155, 2722, 2721, 619, 2158, 59422, 18640, 19500, 5228, 33500, 8184, 1690, 30100]","[25579, 18000, 5174, 5231, 2841, 2857, 1368, 3045]","[7381, 9780, 3409, 5745]"
2,72,"[28, 98]","Nathaniel Hawthorne,Wilkie Collins","[1975, 2182, 7085, 43092, 2181, 2081, 1438, 1627, 9258, 888, 7891, 1586, 30376, 9237, 1630, 7119, 9256, 7893, 7894, 3606, 1625, 170, 64944, 1926, 976, 32242, 77, 155]","[9247, 1587, 1622, 1895, 25344, 9251, 7183, 1917]","[9257, 4605, 7372, 583]"
