case_id,set_id,author_ids,author_names
2,30,"[593, 30]","Bret Harte,H.G. Wells"
2,31,"[98, 979]","Wilkie Collins,John Kendrick Bangs"
2,32,"[8949, 125]","James Grant,Joseph Conrad"
2,33,"[73, 120]","Frances Hodgson Burnett,Jack London"
2,34,"[69, 98]","Arthur Conan Doyle,Wilkie Collins"
2,35,"[28, 979]","Nathaniel Hawthorne,John Kendrick Bangs"
2,36,"[102, 260]","Louisa May Alcott,Oliver Optic"
2,37,"[979, 260]","John Kendrick Bangs,Oliver Optic"
2,38,"[260, 120]","Oliver Optic,Jack London"
2,39,"[324, 365]","Anthony Trollope,Henry Rider Haggard"
2,40,"[53, 98]","Mark Twain,Wilkie Collins"
2,41,"[1177, 30]","Mrs Henry Wood,H.G. Wells"
2,42,"[1177, 593]","Mrs Henry Wood,Bret Harte"
2,43,"[324, 73]","Anthony Trollope,Frances Hodgson Burnett"
2,44,"[30, 979]","H.G. Wells,John Kendrick Bangs"
2,45,"[1057, 102]","Fergus Hume,Louisa May Alcott"
2,46,"[73, 593]","Frances Hodgson Burnett,Bret Harte"
2,47,"[260, 102]","Oliver Optic,Louisa May Alcott"
2,48,"[1057, 30]","Fergus Hume,H.G. Wells"
2,49,"[979, 365]","John Kendrick Bangs,Henry Rider Haggard"
2,50,"[30, 125]","H.G. Wells,Joseph Conrad"
2,51,"[30, 8949]","H.G. Wells,James Grant"
2,52,"[593, 365]","Bret Harte,Henry Rider Haggard"
2,53,"[963, 1177]","Margaret Oliphant,Mrs Henry Wood"
2,54,"[28, 1321]","Nathaniel Hawthorne,Marie Corelli"
2,55,"[28, 73]","Nathaniel Hawthorne,Frances Hodgson Burnett"
2,56,"[73, 98]","Frances Hodgson Burnett,Wilkie Collins"
2,57,"[69, 125]","Arthur Conan Doyle,Joseph Conrad"
2,58,"[125, 963]","Joseph Conrad,Margaret Oliphant"
2,59,"[324, 102]","Anthony Trollope,Louisa May Alcott"
2,60,"[8949, 53]","James Grant,Mark Twain"
2,61,"[2957, 1177]","Mary Elizabeth Braddon,Mrs Henry Wood"
2,62,"[2957, 260]","Mary Elizabeth Braddon,Oliver Optic"
2,63,"[1321, 125]","Marie Corelli,Joseph Conrad"
2,64,"[8949, 69]","James Grant,Arthur Conan Doyle"
2,65,"[8949, 73]","James Grant,Frances Hodgson Burnett"
2,66,"[324, 1321]","Anthony Trollope,Marie Corelli"
2,67,"[28, 102]","Nathaniel Hawthorne,Louisa May Alcott"
2,68,"[1321, 260]","Marie Corelli,Oliver Optic"
2,69,"[365, 98]","Henry Rider Haggard,Wilkie Collins"
2,70,"[1057, 28]","Fergus Hume,Nathaniel Hawthorne"
2,71,"[365, 324]","Henry Rider Haggard,Anthony Trollope"
2,72,"[28, 98]","Nathaniel Hawthorne,Wilkie Collins"
2,73,"[979, 1057]","John Kendrick Bangs,Fergus Hume"
2,74,"[1057, 979]","Fergus Hume,John Kendrick Bangs"
2,75,"[2957, 8949]","Mary Elizabeth Braddon,James Grant"
2,76,"[365, 98]","Henry Rider Haggard,Wilkie Collins"
2,77,"[30, 98]","H.G. Wells,Wilkie Collins"
2,78,"[73, 1177]","Frances Hodgson Burnett,Mrs Henry Wood"
2,79,"[8949, 120]","James Grant,Jack London"
2,80,"[102, 53]","Louisa May Alcott,Mark Twain"
2,81,"[593, 102]","Bret Harte,Louisa May Alcott"
2,82,"[102, 73]","Louisa May Alcott,Frances Hodgson Burnett"
2,83,"[30, 1177]","H.G. Wells,Mrs Henry Wood"
2,84,"[2957, 53]","Mary Elizabeth Braddon,Mark Twain"
2,85,"[28, 1057]","Nathaniel Hawthorne,Fergus Hume"
2,86,"[30, 8949]","H.G. Wells,James Grant"
2,87,"[53, 963]","Mark Twain,Margaret Oliphant"
2,88,"[53, 1321]","Mark Twain,Marie Corelli"
2,89,"[69, 365]","Arthur Conan Doyle,Henry Rider Haggard"
2,90,"[1177, 1321]","Mrs Henry Wood,Marie Corelli"
2,91,"[1177, 102]","Mrs Henry Wood,Louisa May Alcott"
2,92,"[979, 365]","John Kendrick Bangs,Henry Rider Haggard"
2,93,"[53, 963]","Mark Twain,Margaret Oliphant"
2,94,"[30, 73]","H.G. Wells,Frances Hodgson Burnett"
2,95,"[8949, 73]","James Grant,Frances Hodgson Burnett"
2,96,"[120, 1177]","Jack London,Mrs Henry Wood"
2,97,"[102, 98]","Louisa May Alcott,Wilkie Collins"
2,98,"[102, 593]","Louisa May Alcott,Bret Harte"
2,99,"[365, 102]","Henry Rider Haggard,Louisa May Alcott"
2,100,"[365, 324]","Henry Rider Haggard,Anthony Trollope"
4,1,"[69, 120, 28, 98]","Arthur Conan Doyle,Jack London,Nathaniel Hawthorne,Wilkie Collins"
4,2,"[98, 979, 1321, 963]","Wilkie Collins,John Kendrick Bangs,Marie Corelli,Margaret Oliphant"
4,3,"[324, 593, 260, 2957]","Anthony Trollope,Bret Harte,Oliver Optic,Mary Elizabeth Braddon"
4,4,"[98, 1321, 120, 102]","Wilkie Collins,Marie Corelli,Jack London,Louisa May Alcott"
4,5,"[979, 28, 260, 102]","John Kendrick Bangs,Nathaniel Hawthorne,Oliver Optic,Louisa May Alcott"
4,6,"[8949, 1057, 1177, 1321]","James Grant,Fergus Hume,Mrs Henry Wood,Marie Corelli"
4,7,"[73, 69, 53, 1177]","Frances Hodgson Burnett,Arthur Conan Doyle,Mark Twain,Mrs Henry Wood"
4,8,"[324, 125, 8949, 98]","Anthony Trollope,Joseph Conrad,James Grant,Wilkie Collins"
4,9,"[69, 979, 324, 98]","Arthur Conan Doyle,John Kendrick Bangs,Anthony Trollope,Wilkie Collins"
4,10,"[2957, 979, 365, 30]","Mary Elizabeth Braddon,John Kendrick Bangs,Henry Rider Haggard,H.G. Wells"
4,11,"[963, 120, 324, 73]","Margaret Oliphant,Jack London,Anthony Trollope,Frances Hodgson Burnett"
4,12,"[1057, 69, 30, 8949]","Fergus Hume,Arthur Conan Doyle,H.G. Wells,James Grant"
4,13,"[53, 365, 963, 979]","Mark Twain,Henry Rider Haggard,Margaret Oliphant,John Kendrick Bangs"
4,14,"[324, 2957, 260, 69]","Anthony Trollope,Mary Elizabeth Braddon,Oliver Optic,Arthur Conan Doyle"
4,15,"[963, 69, 28, 979]","Margaret Oliphant,Arthur Conan Doyle,Nathaniel Hawthorne,John Kendrick Bangs"
4,16,"[125, 963, 2957, 8949]","Joseph Conrad,Margaret Oliphant,Mary Elizabeth Braddon,James Grant"
4,17,"[1177, 73, 260, 1057]","Mrs Henry Wood,Frances Hodgson Burnett,Oliver Optic,Fergus Hume"
4,18,"[30, 365, 125, 1057]","H.G. Wells,Henry Rider Haggard,Joseph Conrad,Fergus Hume"
4,19,"[69, 1321, 53, 324]","Arthur Conan Doyle,Marie Corelli,Mark Twain,Anthony Trollope"
4,20,"[53, 1057, 73, 260]","Mark Twain,Fergus Hume,Frances Hodgson Burnett,Oliver Optic"
4,21,"[28, 365, 324, 69]","Nathaniel Hawthorne,Henry Rider Haggard,Anthony Trollope,Arthur Conan Doyle"
4,22,"[963, 1177, 120, 324]","Margaret Oliphant,Mrs Henry Wood,Jack London,Anthony Trollope"
4,23,"[120, 593, 963, 53]","Jack London,Bret Harte,Margaret Oliphant,Mark Twain"
4,24,"[2957, 73, 30, 8949]","Mary Elizabeth Braddon,Frances Hodgson Burnett,H.G. Wells,James Grant"
4,25,"[8949, 53, 2957, 98]","James Grant,Mark Twain,Mary Elizabeth Braddon,Wilkie Collins"
4,26,"[593, 73, 365, 98]","Bret Harte,Frances Hodgson Burnett,Henry Rider Haggard,Wilkie Collins"
4,27,"[98, 365, 1177, 8949]","Wilkie Collins,Henry Rider Haggard,Mrs Henry Wood,James Grant"
4,28,"[260, 1321, 53, 125]","Oliver Optic,Marie Corelli,Mark Twain,Joseph Conrad"
4,29,"[260, 73, 593, 1057]","Oliver Optic,Frances Hodgson Burnett,Bret Harte,Fergus Hume"
4,30,"[120, 8949, 365, 2957]","Jack London,James Grant,Henry Rider Haggard,Mary Elizabeth Braddon"
4,31,"[1057, 963, 30, 53]","Fergus Hume,Margaret Oliphant,H.G. Wells,Mark Twain"
4,32,"[125, 260, 102, 324]","Joseph Conrad,Oliver Optic,Louisa May Alcott,Anthony Trollope"
4,33,"[1321, 125, 1177, 365]","Marie Corelli,Joseph Conrad,Mrs Henry Wood,Henry Rider Haggard"
4,34,"[979, 73, 1321, 593]","John Kendrick Bangs,Frances Hodgson Burnett,Marie Corelli,Bret Harte"
4,35,"[30, 979, 324, 8949]","H.G. Wells,John Kendrick Bangs,Anthony Trollope,James Grant"
4,36,"[963, 102, 53, 98]","Margaret Oliphant,Louisa May Alcott,Mark Twain,Wilkie Collins"
4,37,"[102, 30, 979, 125]","Louisa May Alcott,H.G. Wells,John Kendrick Bangs,Joseph Conrad"
4,38,"[963, 120, 125, 73]","Margaret Oliphant,Jack London,Joseph Conrad,Frances Hodgson Burnett"
4,39,"[8949, 125, 979, 53]","James Grant,Joseph Conrad,John Kendrick Bangs,Mark Twain"
4,40,"[1177, 979, 30, 324]","Mrs Henry Wood,John Kendrick Bangs,H.G. Wells,Anthony Trollope"
4,41,"[2957, 979, 53, 1177]","Mary Elizabeth Braddon,John Kendrick Bangs,Mark Twain,Mrs Henry Wood"
4,42,"[69, 260, 73, 324]","Arthur Conan Doyle,Oliver Optic,Frances Hodgson Burnett,Anthony Trollope"
4,43,"[69, 963, 28, 593]","Arthur Conan Doyle,Margaret Oliphant,Nathaniel Hawthorne,Bret Harte"
4,44,"[8949, 69, 98, 102]","James Grant,Arthur Conan Doyle,Wilkie Collins,Louisa May Alcott"
4,45,"[1177, 30, 73, 120]","Mrs Henry Wood,H.G. Wells,Frances Hodgson Burnett,Jack London"
4,46,"[120, 324, 593, 1177]","Jack London,Anthony Trollope,Bret Harte,Mrs Henry Wood"
4,47,"[125, 593, 53, 69]","Joseph Conrad,Bret Harte,Mark Twain,Arthur Conan Doyle"
4,48,"[30, 963, 120, 28]","H.G. Wells,Margaret Oliphant,Jack London,Nathaniel Hawthorne"
4,49,"[8949, 963, 30, 365]","James Grant,Margaret Oliphant,H.G. Wells,Henry Rider Haggard"
4,50,"[979, 963, 102, 73]","John Kendrick Bangs,Margaret Oliphant,Louisa May Alcott,Frances Hodgson Burnett"
4,51,"[260, 979, 102, 53]","Oliver Optic,John Kendrick Bangs,Louisa May Alcott,Mark Twain"
4,52,"[53, 102, 260, 593]","Mark Twain,Louisa May Alcott,Oliver Optic,Bret Harte"
4,53,"[125, 1177, 120, 324]","Joseph Conrad,Mrs Henry Wood,Jack London,Anthony Trollope"
4,54,"[28, 324, 120, 1057]","Nathaniel Hawthorne,Anthony Trollope,Jack London,Fergus Hume"
4,55,"[324, 125, 73, 30]","Anthony Trollope,Joseph Conrad,Frances Hodgson Burnett,H.G. Wells"
4,56,"[1321, 260, 1057, 28]","Marie Corelli,Oliver Optic,Fergus Hume,Nathaniel Hawthorne"
4,57,"[979, 365, 2957, 102]","John Kendrick Bangs,Henry Rider Haggard,Mary Elizabeth Braddon,Louisa May Alcott"
4,58,"[8949, 324, 1321, 98]","James Grant,Anthony Trollope,Marie Corelli,Wilkie Collins"
4,59,"[28, 8949, 1177, 98]","Nathaniel Hawthorne,James Grant,Mrs Henry Wood,Wilkie Collins"
4,60,"[125, 28, 53, 102]","Joseph Conrad,Nathaniel Hawthorne,Mark Twain,Louisa May Alcott"
4,61,"[28, 324, 260, 2957]","Nathaniel Hawthorne,Anthony Trollope,Oliver Optic,Mary Elizabeth Braddon"
4,62,"[125, 69, 1177, 365]","Joseph Conrad,Arthur Conan Doyle,Mrs Henry Wood,Henry Rider Haggard"
4,63,"[365, 1057, 593, 120]","Henry Rider Haggard,Fergus Hume,Bret Harte,Jack London"
4,64,"[102, 1321, 30, 365]","Louisa May Alcott,Marie Corelli,H.G. Wells,Henry Rider Haggard"
4,65,"[102, 260, 28, 125]","Louisa May Alcott,Oliver Optic,Nathaniel Hawthorne,Joseph Conrad"
4,66,"[73, 963, 593, 1177]","Frances Hodgson Burnett,Margaret Oliphant,Bret Harte,Mrs Henry Wood"
4,67,"[963, 979, 365, 324]","Margaret Oliphant,John Kendrick Bangs,Henry Rider Haggard,Anthony Trollope"
4,68,"[365, 1177, 260, 98]","Henry Rider Haggard,Mrs Henry Wood,Oliver Optic,Wilkie Collins"
4,69,"[963, 120, 125, 98]","Margaret Oliphant,Jack London,Joseph Conrad,Wilkie Collins"
4,70,"[365, 8949, 30, 28]","Henry Rider Haggard,James Grant,H.G. Wells,Nathaniel Hawthorne"
4,71,"[963, 102, 8949, 69]","Margaret Oliphant,Louisa May Alcott,James Grant,Arthur Conan Doyle"
4,72,"[260, 1057, 963, 365]","Oliver Optic,Fergus Hume,Margaret Oliphant,Henry Rider Haggard"
4,73,"[30, 979, 365, 1177]","H.G. Wells,John Kendrick Bangs,Henry Rider Haggard,Mrs Henry Wood"
4,74,"[365, 120, 963, 30]","Henry Rider Haggard,Jack London,Margaret Oliphant,H.G. Wells"
4,75,"[8949, 1177, 98, 979]","James Grant,Mrs Henry Wood,Wilkie Collins,John Kendrick Bangs"
4,76,"[365, 98, 73, 8949]","Henry Rider Haggard,Wilkie Collins,Frances Hodgson Burnett,James Grant"
4,77,"[30, 1057, 69, 979]","H.G. Wells,Fergus Hume,Arthur Conan Doyle,John Kendrick Bangs"
4,78,"[98, 1177, 1321, 1057]","Wilkie Collins,Mrs Henry Wood,Marie Corelli,Fergus Hume"
4,79,"[2957, 324, 593, 260]","Mary Elizabeth Braddon,Anthony Trollope,Bret Harte,Oliver Optic"
4,80,"[260, 324, 98, 120]","Oliver Optic,Anthony Trollope,Wilkie Collins,Jack London"
4,81,"[260, 53, 102, 73]","Oliver Optic,Mark Twain,Louisa May Alcott,Frances Hodgson Burnett"
4,82,"[324, 365, 593, 963]","Anthony Trollope,Henry Rider Haggard,Bret Harte,Margaret Oliphant"
4,83,"[53, 2957, 69, 1057]","Mark Twain,Mary Elizabeth Braddon,Arthur Conan Doyle,Fergus Hume"
4,84,"[2957, 365, 102, 260]","Mary Elizabeth Braddon,Henry Rider Haggard,Louisa May Alcott,Oliver Optic"
4,85,"[120, 30, 69, 1177]","Jack London,H.G. Wells,Arthur Conan Doyle,Mrs Henry Wood"
4,86,"[1321, 8949, 125, 365]","Marie Corelli,James Grant,Joseph Conrad,Henry Rider Haggard"
4,87,"[365, 69, 979, 324]","Henry Rider Haggard,Arthur Conan Doyle,John Kendrick Bangs,Anthony Trollope"
4,88,"[593, 1057, 53, 8949]","Bret Harte,Fergus Hume,Mark Twain,James Grant"
4,89,"[98, 125, 1057, 324]","Wilkie Collins,Joseph Conrad,Fergus Hume,Anthony Trollope"
4,90,"[8949, 1177, 593, 963]","James Grant,Mrs Henry Wood,Bret Harte,Margaret Oliphant"
4,91,"[73, 30, 1177, 98]","Frances Hodgson Burnett,H.G. Wells,Mrs Henry Wood,Wilkie Collins"
4,92,"[69, 365, 979, 30]","Arthur Conan Doyle,Henry Rider Haggard,John Kendrick Bangs,H.G. Wells"
4,93,"[1177, 593, 8949, 365]","Mrs Henry Wood,Bret Harte,James Grant,Henry Rider Haggard"
4,94,"[8949, 2957, 1177, 28]","James Grant,Mary Elizabeth Braddon,Mrs Henry Wood,Nathaniel Hawthorne"
4,95,"[125, 8949, 2957, 73]","Joseph Conrad,James Grant,Mary Elizabeth Braddon,Frances Hodgson Burnett"
4,96,"[1321, 120, 102, 30]","Marie Corelli,Jack London,Louisa May Alcott,H.G. Wells"
4,97,"[53, 979, 73, 260]","Mark Twain,John Kendrick Bangs,Frances Hodgson Burnett,Oliver Optic"
4,98,"[365, 1321, 98, 125]","Henry Rider Haggard,Marie Corelli,Wilkie Collins,Joseph Conrad"
4,99,"[1177, 120, 365, 28]","Mrs Henry Wood,Jack London,Henry Rider Haggard,Nathaniel Hawthorne"
4,100,"[30, 593, 260, 73]","H.G. Wells,Bret Harte,Oliver Optic,Frances Hodgson Burnett"
6,1,"[963, 1321, 324, 69, 125, 28]","Margaret Oliphant,Marie Corelli,Anthony Trollope,Arthur Conan Doyle,Joseph Conrad,Nathaniel Hawthorne"
6,2,"[28, 1177, 30, 1057, 1321, 53]","Nathaniel Hawthorne,Mrs Henry Wood,H.G. Wells,Fergus Hume,Marie Corelli,Mark Twain"
6,3,"[102, 979, 28, 69, 1321, 120]","Louisa May Alcott,John Kendrick Bangs,Nathaniel Hawthorne,Arthur Conan Doyle,Marie Corelli,Jack London"
6,4,"[2957, 979, 102, 125, 1177, 593]","Mary Elizabeth Braddon,John Kendrick Bangs,Louisa May Alcott,Joseph Conrad,Mrs Henry Wood,Bret Harte"
6,5,"[979, 102, 53, 365, 98, 1057]","John Kendrick Bangs,Louisa May Alcott,Mark Twain,Henry Rider Haggard,Wilkie Collins,Fergus Hume"
6,6,"[98, 30, 1057, 2957, 979, 53]","Wilkie Collins,H.G. Wells,Fergus Hume,Mary Elizabeth Braddon,John Kendrick Bangs,Mark Twain"
6,7,"[365, 8949, 53, 979, 69, 1057]","Henry Rider Haggard,James Grant,Mark Twain,John Kendrick Bangs,Arthur Conan Doyle,Fergus Hume"
6,8,"[324, 125, 102, 2957, 98, 365]","Anthony Trollope,Joseph Conrad,Louisa May Alcott,Mary Elizabeth Braddon,Wilkie Collins,Henry Rider Haggard"
6,9,"[963, 8949, 102, 324, 979, 260]","Margaret Oliphant,James Grant,Louisa May Alcott,Anthony Trollope,John Kendrick Bangs,Oliver Optic"
6,10,"[28, 365, 1321, 593, 102, 120]","Nathaniel Hawthorne,Henry Rider Haggard,Marie Corelli,Bret Harte,Louisa May Alcott,Jack London"
6,11,"[260, 120, 963, 1177, 593, 125]","Oliver Optic,Jack London,Margaret Oliphant,Mrs Henry Wood,Bret Harte,Joseph Conrad"
6,12,"[1321, 593, 98, 2957, 979, 365]","Marie Corelli,Bret Harte,Wilkie Collins,Mary Elizabeth Braddon,John Kendrick Bangs,Henry Rider Haggard"
6,13,"[28, 102, 979, 53, 120, 2957]","Nathaniel Hawthorne,Louisa May Alcott,John Kendrick Bangs,Mark Twain,Jack London,Mary Elizabeth Braddon"
6,14,"[365, 8949, 324, 125, 28, 73]","Henry Rider Haggard,James Grant,Anthony Trollope,Joseph Conrad,Nathaniel Hawthorne,Frances Hodgson Burnett"
6,15,"[8949, 30, 963, 53, 1057, 1321]","James Grant,H.G. Wells,Margaret Oliphant,Mark Twain,Fergus Hume,Marie Corelli"
6,16,"[69, 260, 102, 963, 73, 2957]","Arthur Conan Doyle,Oliver Optic,Louisa May Alcott,Margaret Oliphant,Frances Hodgson Burnett,Mary Elizabeth Braddon"
6,17,"[30, 28, 1057, 8949, 365, 53]","H.G. Wells,Nathaniel Hawthorne,Fergus Hume,James Grant,Henry Rider Haggard,Mark Twain"
6,18,"[53, 365, 98, 69, 120, 1057]","Mark Twain,Henry Rider Haggard,Wilkie Collins,Arthur Conan Doyle,Jack London,Fergus Hume"
6,19,"[120, 365, 53, 593, 2957, 8949]","Jack London,Henry Rider Haggard,Mark Twain,Bret Harte,Mary Elizabeth Braddon,James Grant"
6,20,"[120, 125, 8949, 98, 260, 2957]","Jack London,Joseph Conrad,James Grant,Wilkie Collins,Oliver Optic,Mary Elizabeth Braddon"
6,21,"[260, 120, 102, 1177, 979, 1057]","Oliver Optic,Jack London,Louisa May Alcott,Mrs Henry Wood,John Kendrick Bangs,Fergus Hume"
6,22,"[98, 8949, 365, 102, 125, 2957]","Wilkie Collins,James Grant,Henry Rider Haggard,Louisa May Alcott,Joseph Conrad,Mary Elizabeth Braddon"
6,23,"[102, 98, 8949, 979, 28, 73]","Louisa May Alcott,Wilkie Collins,James Grant,John Kendrick Bangs,Nathaniel Hawthorne,Frances Hodgson Burnett"
6,24,"[69, 1057, 365, 1321, 2957, 53]","Arthur Conan Doyle,Fergus Hume,Henry Rider Haggard,Marie Corelli,Mary Elizabeth Braddon,Mark Twain"
6,25,"[1057, 963, 125, 365, 73, 69]","Fergus Hume,Margaret Oliphant,Joseph Conrad,Henry Rider Haggard,Frances Hodgson Burnett,Arthur Conan Doyle"
6,26,"[8949, 1321, 324, 30, 1177, 53]","James Grant,Marie Corelli,Anthony Trollope,H.G. Wells,Mrs Henry Wood,Mark Twain"
6,27,"[979, 102, 963, 593, 53, 1177]","John Kendrick Bangs,Louisa May Alcott,Margaret Oliphant,Bret Harte,Mark Twain,Mrs Henry Wood"
6,28,"[69, 30, 73, 593, 53, 98]","Arthur Conan Doyle,H.G. Wells,Frances Hodgson Burnett,Bret Harte,Mark Twain,Wilkie Collins"
6,29,"[1321, 8949, 125, 98, 1177, 979]","Marie Corelli,James Grant,Joseph Conrad,Wilkie Collins,Mrs Henry Wood,John Kendrick Bangs"
6,30,"[30, 1321, 73, 98, 1177, 1057]","H.G. Wells,Marie Corelli,Frances Hodgson Burnett,Wilkie Collins,Mrs Henry Wood,Fergus Hume"
6,31,"[102, 979, 963, 53, 73, 30]","Louisa May Alcott,John Kendrick Bangs,Margaret Oliphant,Mark Twain,Frances Hodgson Burnett,H.G. Wells"
6,32,"[1177, 365, 125, 98, 1321, 28]","Mrs Henry Wood,Henry Rider Haggard,Joseph Conrad,Wilkie Collins,Marie Corelli,Nathaniel Hawthorne"
6,33,"[963, 8949, 1057, 102, 73, 28]","Margaret Oliphant,James Grant,Fergus Hume,Louisa May Alcott,Frances Hodgson Burnett,Nathaniel Hawthorne"
6,34,"[120, 593, 69, 73, 1321, 1177]","Jack London,Bret Harte,Arthur Conan Doyle,Frances Hodgson Burnett,Marie Corelli,Mrs Henry Wood"
6,35,"[963, 125, 53, 28, 365, 593]","Margaret Oliphant,Joseph Conrad,Mark Twain,Nathaniel Hawthorne,Henry Rider Haggard,Bret Harte"
6,36,"[125, 260, 593, 1057, 979, 2957]","Joseph Conrad,Oliver Optic,Bret Harte,Fergus Hume,John Kendrick Bangs,Mary Elizabeth Braddon"
6,37,"[120, 98, 324, 979, 28, 260]","Jack London,Wilkie Collins,Anthony Trollope,John Kendrick Bangs,Nathaniel Hawthorne,Oliver Optic"
6,38,"[1057, 593, 53, 69, 125, 30]","Fergus Hume,Bret Harte,Mark Twain,Arthur Conan Doyle,Joseph Conrad,H.G. Wells"
6,39,"[120, 324, 30, 1057, 1321, 102]","Jack London,Anthony Trollope,H.G. Wells,Fergus Hume,Marie Corelli,Louisa May Alcott"
6,40,"[1177, 1057, 8949, 963, 593, 28]","Mrs Henry Wood,Fergus Hume,James Grant,Margaret Oliphant,Bret Harte,Nathaniel Hawthorne"
6,41,"[98, 1321, 324, 73, 2957, 593]","Wilkie Collins,Marie Corelli,Anthony Trollope,Frances Hodgson Burnett,Mary Elizabeth Braddon,Bret Harte"
6,42,"[30, 8949, 593, 1057, 963, 98]","H.G. Wells,James Grant,Bret Harte,Fergus Hume,Margaret Oliphant,Wilkie Collins"
6,43,"[98, 324, 365, 28, 963, 979]","Wilkie Collins,Anthony Trollope,Henry Rider Haggard,Nathaniel Hawthorne,Margaret Oliphant,John Kendrick Bangs"
6,44,"[73, 30, 1177, 8949, 125, 102]","Frances Hodgson Burnett,H.G. Wells,Mrs Henry Wood,James Grant,Joseph Conrad,Louisa May Alcott"
6,45,"[963, 260, 324, 2957, 73, 8949]","Margaret Oliphant,Oliver Optic,Anthony Trollope,Mary Elizabeth Braddon,Frances Hodgson Burnett,James Grant"
6,46,"[125, 28, 73, 365, 260, 30]","Joseph Conrad,Nathaniel Hawthorne,Frances Hodgson Burnett,Henry Rider Haggard,Oliver Optic,H.G. Wells"
6,47,"[125, 1057, 260, 69, 28, 102]","Joseph Conrad,Fergus Hume,Oliver Optic,Arthur Conan Doyle,Nathaniel Hawthorne,Louisa May Alcott"
6,48,"[69, 1057, 30, 53, 979, 1177]","Arthur Conan Doyle,Fergus Hume,H.G. Wells,Mark Twain,John Kendrick Bangs,Mrs Henry Wood"
6,49,"[1177, 2957, 260, 593, 8949, 1057]","Mrs Henry Wood,Mary Elizabeth Braddon,Oliver Optic,Bret Harte,James Grant,Fergus Hume"
6,50,"[1177, 69, 1321, 30, 53, 324]","Mrs Henry Wood,Arthur Conan Doyle,Marie Corelli,H.G. Wells,Mark Twain,Anthony Trollope"
6,51,"[365, 125, 73, 1057, 1321, 2957]","Henry Rider Haggard,Joseph Conrad,Frances Hodgson Burnett,Fergus Hume,Marie Corelli,Mary Elizabeth Braddon"
6,52,"[365, 324, 73, 593, 125, 8949]","Henry Rider Haggard,Anthony Trollope,Frances Hodgson Burnett,Bret Harte,Joseph Conrad,James Grant"
6,53,"[260, 1057, 30, 69, 979, 120]","Oliver Optic,Fergus Hume,H.G. Wells,Arthur Conan Doyle,John Kendrick Bangs,Jack London"
6,54,"[69, 260, 102, 28, 53, 593]","Arthur Conan Doyle,Oliver Optic,Louisa May Alcott,Nathaniel Hawthorne,Mark Twain,Bret Harte"
6,55,"[102, 69, 98, 1177, 260, 1057]","Louisa May Alcott,Arthur Conan Doyle,Wilkie Collins,Mrs Henry Wood,Oliver Optic,Fergus Hume"
6,56,"[8949, 260, 53, 1177, 73, 28]","James Grant,Oliver Optic,Mark Twain,Mrs Henry Wood,Frances Hodgson Burnett,Nathaniel Hawthorne"
6,57,"[963, 979, 120, 365, 324, 30]","Margaret Oliphant,John Kendrick Bangs,Jack London,Henry Rider Haggard,Anthony Trollope,H.G. Wells"
6,58,"[1057, 125, 260, 8949, 979, 1321]","Fergus Hume,Joseph Conrad,Oliver Optic,James Grant,John Kendrick Bangs,Marie Corelli"
6,59,"[1321, 102, 125, 365, 73, 260]","Marie Corelli,Louisa May Alcott,Joseph Conrad,Henry Rider Haggard,Frances Hodgson Burnett,Oliver Optic"
